MRK,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
Dividend,0.47,,,,,
12-Mar-17,65.24,65.29,63.89,63.9,60.58,"55,178,900"
5-Mar-17,66.08,66.78,65.19,65.6,62.19,"41,992,700"
26-Feb-17,65.78,66.8,65.56,66.58,63.12,"42,519,600"
19-Feb-17,64.9,66.16,64.9,66.16,62.72,"31,365,600"
12-Feb-17,64.25,65.87,64.22,65.39,61.99,"56,433,300"
5-Feb-17,63.92,64.95,63.83,64.15,60.81,"39,085,200"
29-Jan-17,61.52,64.33,60.92,64.29,60.95,"59,334,200"
22-Jan-17,61.81,62.4,60.54,61.75,58.54,"54,606,900"
15-Jan-17,61.92,62.92,60.07,62.53,59.28,"55,346,500"
8-Jan-17,60.3,63.24,59.89,62.34,59.1,"92,566,800"
1-Jan-17,59.15,60.79,59.05,60.27,57.14,"41,736,000"
